plate, mjd, fiber, FWHM_broad_Halpha, log_L_OIII_5007, log_L_narrow_Hbeta, EW_broad_Hbeta, EW_broad_FeII, EW_OIII_5007, r_mag, W1_mag, W2_mag, W3_mag, W4_mag, log_BH_mass, log_L_bol, log_Eddington_ratio 
540.0, 51996.0, 549.0, 3006.0, 41.5, 40.18, 27.1, 23.1, 11.7, 17.994, 12.229, 11.247, 8.604, 6.475, 8.84, 45.066, -1.88 
353.0, 51703.0, 132.0, 2037.3, 41.5, 41.04, 16.4, 29.5, 11.6, 18.822, 14.276, 13.394, 10.069, 7.706, 7.79, 45.132, -0.76 
353.0, 51703.0, 374.0, 1848.0, 41.4, 41.13, 40.8, 31.8, 8.4, 18.765, 14.221, 13.211, 10.111, 7.813, 7.7, 45.123, -0.68 
529.0, 52025.0, 195.0, 2877.8, 41.3, 41.11, 23.0, 15.1, 6.1, 18.576, 14.23, 13.433, 10.28, 7.728, 8.03, 45.187, -0.95 
2103.0, 53467.0, 353.0, 2694.9, 41.7, 41.34, 7.5, 6.9, 11.4, 18.491, nan, nan, nan, nan, 9.06, 45.325, -1.83 
1446.0, 53080.0, 220.0, 2884.8, 41.4, 41.25, 8.7, 7.8, 6.5, 18.492, nan, nan, nan, nan, 8.84, 45.217, -1.72 
940.0, 52670.0, 96.0, 2653.5, 41.3, 40.85, 25.6, 22.4, 9.9, 18.699, nan, nan, nan, nan, 8.21, 45.01, -1.3 
2202.0, 53566.0, 513.0, 3350.0, 41.4, 40.92, 19.2, 9.8, 8.0, 18.84, 14.206, 13.427, 10.178, 7.851, 8.31, 45.153, -1.25 
1822.0, 53172.0, 551.0, 9013.8, 41.6, 40.74, 15.9, 17.9, 11.7, 18.739, 14.343, 13.647, 10.705, 8.618, 9.09, 45.191, -2.0 
484.0, 51907.0, 214.0, 4785.3, 40.9, 40.72, 13.7, 18.3, 2.7, 18.841, 14.079, 13.16, 10.33, 9.229, 8.28, 45.108, -1.27 
1364.0, 53061.0, 301.0, 3379.9, 41.6, 41.1, 25.8, 10.2, 15.2, 18.691, nan, nan, nan, nan, 8.41, 45.107, -1.4 
939.0, 52636.0, 289.0, 1704.1, 41.5, 41.21, 18.9, 29.8, 8.3, 18.74, 14.048, 13.289, 9.802, 7.924, 8.39, 45.217, -1.27 
1372.0, 53062.0, 589.0, 1306.5, 41.3, 41.17, 10.2, 21.6, 8.1, 17.927, nan, nan, nan, nan, 7.32, 45.066, -0.35 
1277.0, 52765.0, 163.0, 1529.8, 41.6, 41.05, 13.2, 32.2, 11.9, 18.538, nan, nan, nan, nan, 7.26, 45.17, -0.2 
646.0, 52523.0, 463.0, 1587.6, 41.5, 41.2, 23.1, 27.7, 10.7, 17.571, nan, nan, nan, nan, 7.46, 45.108, -0.45 
833.0, 52314.0, 246.0, 1225.4, 41.5, 41.51, 0.9, nan, 8.8, 18.26, 14.622, 13.749, 9.397, 6.761, 8.64, 45.211, -1.53 
1972.0, 53466.0, 239.0, 1932.4, 41.6, 41.3, 11.2, 5.6, 12.5, 18.557, nan, nan, nan, nan, 9.05, 45.189, -1.96 
1620.0, 53137.0, 392.0, 1651.8, 41.6, 41.15, 23.3, 33.4, 13.8, 17.197, nan, nan, nan, nan, 7.51, 45.09, -0.52 
601.0, 52316.0, 588.0, 1490.7, 41.9, 41.37, 13.3, 11.0, 25.1, 18.625, nan, nan, nan, nan, 7.42, 45.197, -0.32 
1299.0, 52972.0, 158.0, 1848.8, 41.4, 41.19, 24.1, 31.1, 7.6, 18.831, nan, nan, nan, nan, 7.6, 45.151, -0.55 
1460.0, 53138.0, 253.0, 1207.7, 41.2, 41.53, nan, nan, 4.7, 18.694, nan, nan, nan, nan, nan, 45.234, nan 
879.0, 52365.0, 153.0, 1511.2, 42.3, 41.77, 45.3, 24.2, 30.0, 17.271, nan, nan, nan, nan, 7.6, 45.511, -0.19 
2751.0, 54243.0, 575.0, 1708.2, 41.6, 41.38, 35.9, 33.5, 13.0, 16.827, 11.566, 10.592, 7.171, 4.951, 7.56, 45.173, -0.49 
876.0, 52669.0, 632.0, 1764.6, 41.5, 41.53, nan, nan, 11.0, 18.399, nan, nan, nan, nan, nan, 45.114, nan 
461.0, 51910.0, 173.0, 1512.9, 41.1, 41.09, 12.4, 29.3, 3.8, 18.493, 13.737, 12.798, 9.64, 7.727, 7.39, 45.174, -0.32 
639.0, 52146.0, 179.0, 1666.8, 42.3, 41.1, 42.0, 13.9, 84.5, 19.062, nan, nan, nan, nan, 7.36, 45.049, -0.41 
